Angle,Distance,Both,Traveled,Ping
0,0,4,18611541.33772749,62.081419879783404
0,0,4,18611541.33772749,62.081419879783404
0,0,4,17446658.712969325,58.195789666466204
0,1,3,18613676.929037508,62.088543445661315
0,0,4,17878325.32759651,59.635674513425755
0,2,2,17120356.395917937,57.107362287721934
0,1,3,17727168.28425491,59.13146888611136
0,1,3,17314544.42017765,57.75510381814828
0,1,3,17382324.086951748,57.98119245185992
0,1,3,17175104.474848002,57.289982223061685
0,0,4,18143159.971119445,60.51906780175764
0,0,4,19011099.34649601,63.41420194541522
0,0,4,18750276.912544437,62.54419194772679
0,0,4,17968544.49006283,59.93661324840952
0,1,3,17701159.92806251,59.04471434752351
0,0,4,17042843.759736575,56.84880796245445
0,0,4,18412287.663876597,61.4167811610196
0,0,4,17382401.787203837,57.9814516320045
0,0,4,18093361.45450951,60.35295782929745
0,1,3,18043598.524785668,60.18696656191264
0,1,3,17289732.632420346,57.67234060226101
0,0,4,18188196.457960546,60.66929335260039
0,1,3,19214612.8840208,64.09305003999434
0,1,3,17364415.8543771,57.921457017507805
0,0,4,18857301.74473481,62.90118836324156
0,0,4,17690558.933287375,59.00935323498392
0,1,3,17703512.860060778,59.05256288390651
0,2,2,16748057.086950524,55.86550545805103
0,0,4,17430453.936942246,58.141736351571986
0,2,2,17554723.91287456,58.55625637515895
0,0,4,18469172.271628074,61.60652778943868
0,0,4,17821282.41968909,59.44539985252027
0,0,4,18986041.240133855,63.330617099096905
0,0,4,18740949.879840624,62.51308031527192
0,0,4,17989009.34559656,60.004876659059626
0,1,3,18383999.392401733,61.32242164359777
1,1,2,18237382.993005656,60.83336197427748
0,2,2,17232958.756772712,57.482963336384664
0,0,4,18491499.123416446,61.681002151089636
0,0,4,18898132.57122462,63.037385341092836
0,0,4,18692422.95148225,62.35121190468599
0,0,4,18194656.060511075,60.69084026754521
0,0,4,17398593.773938343,58.03546228641038
1,1,2,18462779.03271177,61.58520223975139
0,0,4,18145079.51311852,60.525470704701526
0,1,3,17162648.052697077,57.2484320709427
0,1,3,17444621.065541405,58.1889928062146
0,1,3,17412156.317410618,58.08070206213134
0,0,4,17242453.198351882,57.51463338474362
0,1,3,17589070.78949136,58.67082522413892
0,0,4,17465292.99739878,58.25794694913463
0,0,4,18959651.659918685,63.24259093403833
0,0,4,18631981.902411602,62.149602264880215
0,1,3,18069500.214627776,60.273365299851896
1,0,3,18148919.169096828,60.53827841850973
0,1,3,16997330.85803416,56.69699326267957
1,0,3,17485934.210073303,58.326798623889665
0,0,4,18128829.1309711,60.47126526416362
0,0,4,18943988.365386028,63.19034380700369
1,1,2,17441424.920086626,58.17833161247602
0,1,3,18756568.990556926,62.56518006095832
0,0,4,17352074.03047075,57.880289123989
0,1,3,18929256.639002327,63.14120405685701
0,0,4,18113150.59384171,60.41896729329876
0,1,3,18101619.096595775,60.38050235859096
0,0,4,17813557.93561328,59.41963374693218
0,1,3,17204649.88577322,57.388535106344435
0,2,2,17976759.27028089,59.96401480589922
0,2,2,16813853.19695311,56.0849776585209
0,1,3,17216657.92005662,57.42858959752015
0,1,3,17919514.006708853,59.77306515914748
0,0,4,17531706.873936187,58.479479796970566
0,0,4,18392263.791920006,61.34998871325837
0,0,4,18049523.387027904,60.206729775174544
0,0,4,18349979.66320857,61.208944040968696
1,0,3,17792108.422466975,59.34808587200398
0,0,4,17330905.40304049,57.80967818296432
0,0,4,18099852.72664478,60.37461038260676
0,0,4,18194671.458533518,60.69089162981979
0,0,4,18589674.2308308,62.00847906203083
0,0,4,18711041.03337706,62.413315141515966
0,2,2,17243531.403269883,57.51822988924672
0,0,4,18344419.309374552,61.190396696888705
0,1,3,17503591.836171888,58.38569812501182
0,0,4,17991004.4882567,60.011531738666235
0,0,4,16973423.196205866,56.617245886286966
0,0,4,18066550.21294765,60.263525153373614
0,1,3,18214375.166186206,60.756616124410435
0,0,4,17098937.70531359,57.03591722572762
0,0,4,18111631.971006725,60.41390171274599
0,0,4,17451114.33459968,58.21065202054211
0,1,3,17566556.754445206,58.59572648634363
0,0,4,19152140.722033244,63.88466533671963
0,1,3,17789525.7592317,59.33947103469375
0,0,4,17631075.55454591,58.81093803956798
0,0,4,18348407.565207675,61.2037000864614
0,1,3,18241889.32869543,60.84839349224796
0,1,3,18239505.39242975,60.84044153676019
0,2,3,18470362.726923667,61.61049872090066
0,2,2,18255366.092728697,60.8933471385574
0,0,4,17145885.409191433,57.19251791042878
0,0,4,17212376.36435414,57.4143078648855
0,1,3,16862997.560898326,56.24890561254926
0,0,4,17483612.34087215,58.31905370184549
0,1,3,17674141.49066442,58.954590540678645
0,0,4,17768602.62128765,59.26967895845802
0,0,4,18575954.946917064,61.96271645647102
0,1,3,16985952.55426426,56.659039326407395
0,1,3,17221801.6984167,57.44574739538042
0,2,2,17319625.837286465,57.77205360126362
1,0,3,17800773.088468555,59.37698808694691
0,0,4,18837637.224334177,62.83559458325455
0,1,3,17808743.357144676,59.403574041718635
0,1,3,16961702.678438816,56.57815044698395
0,0,4,17391346.50515823,58.011287999716146
0,1,3,18663968.605411682,62.25629842203796
0,0,4,18448135.466881923,61.53635656156045
0,1,3,18243615.588658474,60.85415167571286
0,1,3,18491058.15355367,61.67953123394695
0,0,4,17289243.847704753,57.670710191936095
0,1,3,18047905.87204375,60.20133432591696
0,1,3,17234848.272041485,57.48926608093662
0,0,4,17291992.60295618,57.679879052580894
0,1,3,17577188.44839865,58.63119000032025
0,0,4,18195719.713487685,60.694388231996356
0,0,4,17656573.527199868,58.89599012191243
0,0,4,18596187.898974866,62.03020632038474
0,1,3,18071761.3496676,60.28090763453901
0,1,3,17860979.424849927,59.57781480948916
0,2,2,18386979.176233493,61.33236113264135
0,1,3,18297423.92027837,61.03363695141938
0,1,3,17981763.095216837,59.98070576938346
0,2,2,17487365.939288445,58.3315743585237
1,1,2,17847344.78502836,59.53233454623141
0,1,3,18083713.29635285,60.32077503762419
0,1,3,18586529.65399472,61.99798988268978
0,2,2,17959539.704980638,59.90657651832519
0,1,3,18591002.09972642,62.01290835592747
0,0,4,17214310.441773087,57.42075925277148
0,1,3,17166679.842571124,57.26188067444607
0,1,3,18339681.81729569,61.17459412419534
0,0,4,17697799.61217584,59.033505540165564
1,1,2,18536413.899303976,61.83082171788865
0,1,3,17689644.228347432,59.00630210770691
0,1,3,19201453.787329488,64.04915601788689
0,0,4,17656098.171351153,58.89440450546612
0,0,3,17195013.284540556,57.356390864420405
0,1,3,17200052.656601537,57.37320040035142
0,1,3,17685791.040296245,58.993449255761945
0,1,3,17585929.360292517,58.66034654418561
0,0,4,17946746.792816833,59.86390395633182
0,0,4,17337907.048068974,57.83303315700838
0,1,3,17537660.28283294,58.49933823162294
0,2,2,18009840.408603873,60.07436160636368
0,1,3,17987621.91351149,60.0002486837477
0,0,4,18543457.477092795,61.85431656456624
0,1,3,17928529.029135182,59.80313603733639
0,0,4,19082256.02382446,63.651555073902394
0,1,3,17249813.91555167,57.53918609463498
0,0,4,19037522.011994414,63.5023384711002
0,0,4,17096764.008459207,57.028666553434576
0,1,3,18617144.035802454,62.100108469048514
0,0,4,17809526.146085553,59.40618514458401
0,1,3,18708583.89213737,62.40511900051738
0,1,3,17467487.067517925,58.26526557932441
0,0,4,17257244.1647881,57.563970738436794
0,2,2,17141639.801424224,57.17835608719996
0,2,2,17821724.253727343,59.446873652242076
0,0,4,17930825.526133582,59.81079632682145
0,0,4,18021638.153135765,60.113714646427816
0,1,3,18802045.894576438,62.71687468538714
0,1,3,16899870.81617263,56.371901553695636
0,0,4,17888469.78678266,59.66951278714852
1,0,3,17649087.11117709,58.871018125876695
0,0,4,18128932.35773944,60.471609591601734
0,0,4,18007294.211499095,60.065868406972506
0,0,4,17487413.586579956,58.33173329278158
0,1,3,17829070.218490824,59.471377153302434
0,0,4,18704649.348017447,62.39199477393603
0,0,4,17183431.96044036,57.31775972521591
0,1,3,17646238.23245227,58.86151528927155
0,0,4,18198672.566233374,60.70423788860576
0,0,4,19156097.37981576,63.89786332654002
0,0,3,17250046.174127143,57.53996082585595
1,1,2,19107982.598707475,63.73736969120888
0,1,3,18194395.65863152,60.68997166036599
0,2,2,17114406.494987626,57.08751555438615
0,1,3,18182621.914361484,60.650698676558704
0,0,4,18251781.96242753,60.88139176666784
0,0,4,18025833.387090404,60.12770844070341
0,0,4,19134389.595115133,63.82545395043274
0,1,3,18501851.273729112,61.715533207844004
0,0,4,19134977.722075876,63.82741573082104
0,1,3,18129184.943458207,60.47245212687476
0,1,3,17310855.03509222,57.74279735408759
0,0,4,18348005.115692887,61.20235765936982
0,0,4,17041266.247481868,56.84354594794029
0,1,3,17495939.5161963,58.36017273295329
0,1,3,16978125.874130663,56.63293233146154
0,0,4,19153444.238484874,63.88901339960627
0,1,3,17898659.54064844,59.703502147660586
0,1,3,17436104.311716724,58.16058397318952
0,0,4,18381378.4319788,61.31367906061919
0,0,4,20503665.48584193,68.39286671657251
0,0,4,18635559.661841467,62.16153638583042
0,0,3,17162603.32535814,57.24828287659827
0,0,4,18570551.95272075,61.94469400764625
0,0,4,18207828.553516306,60.73477897494627
0,2,2,17084911.986623503,56.98913246377188
0,0,4,18204411.956485692,60.723382433898514
0,0,4,17769968.703315757,59.27423571764513
0,1,3,17255530.50681201,57.55825459067592
0,0,4,18070359.139318828,60.27623036424515
0,1,3,17634765.204970732,58.82324538870562
0,1,3,17171570.998119764,57.278195813305466
0,0,4,17388616.526971888,58.00218177261902
0,0,4,18169489.787950836,60.60689461762452
0,1,3,17363797.874881692,57.919395659781685
0,2,2,16918167.93501709,56.432934173023654
0,2,2,16959287.566065118,56.57009449919286
0,1,3,17511932.427349824,58.41351934269428
0,0,4,17220591.725750778,57.44171136097827
0,0,4,18073039.714615226,60.28517180103834
0,2,2,17525388.364140708,58.458403516800665
0,1,3,17763436.31583348,59.252446018299665
0,0,4,17391783.75093624,58.012746494649086
0,1,3,18114489.970496822,60.42343497294949
1,1,2,17343709.239949778,57.85238718598636
0,1,3,19365057.476117004,64.59487918574243
0,1,3,17787777.208829705,59.33363849832734
0,1,3,17981826.080892473,59.980915866983906
0,1,3,17048047.912520315,56.86616714771607
0,0,4,18594700.666503564,62.025245446815255
0,0,4,17159591.512126148,57.23823654897489
0,1,3,17208707.344043527,57.40206933040212
0,1,3,18335082.206969786,61.15925147552674
0,2,2,16832858.46859361,56.1483724213314
0,0,4,16965168.324853037,56.589710599165436
0,0,4,17949624.167204764,59.87350184423842
1,1,2,18920663.7568946,63.112541287211705
0,2,2,16773920.10578291,55.951775203385736
0,1,3,17698105.760051467,59.03452673956368
0,1,3,17056123.919087768,56.89310580613065
0,0,4,18462303.30169839,61.583615371890446
0,1,3,18214772.16728539,60.75794037754369
0,1,3,17422763.879854403,58.11608508205558
0,1,3,17326622.104077414,57.79539063543818
0,2,2,18007332.362857644,60.0659956662073
0,1,3,17660642.825324696,58.90956383947398
0,0,3,18089449.16195021,60.339907825933444
0,1,3,17314139.031931747,57.75375158850477
0,2,2,17024571.473137293,56.78785817458093
0,0,4,17836950.172472432,59.49766185067856
0,0,4,18236598.817270987,60.83074624556592
0,0,4,17239277.972364094,57.5040419708363
0,1,3,17010636.292240113,56.74137541419692
0,0,4,17113129.420952942,57.08325569390893
0,1,3,17526679.780755416,58.46271121897549
0,1,3,17639701.55110954,58.839711267149234
0,1,3,17426725.11641622,58.12929834503981
0,0,4,17614623.983345892,58.75606150458267
1,0,3,17671583.0178175,58.946056393819
0,0,4,17517713.07664519,58.43280151334159
0,0,4,18858602.794441286,62.905528197952
0,0,4,17381902.153110225,57.979785032049726
0,1,3,17918242.131325174,59.76882263950356
0,1,3,18614457.666998602,62.09114770719448
0,2,2,17385632.344931338,57.99222761272998
0,1,3,18359753.4006529,61.24154572005941
0,1,3,17594370.41429602,58.688502869785424
0,0,4,18346673.38804704,61.1979154940678
0,0,4,17270186.806204617,57.60714274346055
0,0,4,17103943.363097686,57.05261430293525
0,1,2,17725291.49535398,59.125208592153434
0,2,2,18428934.174969688,61.472307945499765
0,1,3,17366073.41753439,57.92698605309264
0,0,4,17908474.158507314,59.73624018913709
0,1,3,17300033.061649755,57.70669913605082
0,0,4,17584135.631587427,58.65436330922025
0,1,3,17321968.2088152,57.77986691171174
0,0,4,18545796.185773436,61.862117657068175
0,2,2,18586056.295419004,61.996410928429114
0,2,2,19095961.86873183,63.69727285176192
0,1,3,17478962.540692747,58.30354363784507
0,1,3,18202235.026691433,60.71612097767875
0,0,4,17842060.63351959,59.51470851394469
0,0,4,17826316.1308962,59.462190505875164
0,2,2,17992886.73410356,60.017810235036606
0,1,3,17104384.243000917,57.05408492000518
0,1,3,17403330.15051838,58.051261138200154
0,2,2,18050809.03497798,60.21101823515525
0,1,2,17632247.76194224,58.81484810258948
0,1,3,17154827.52272353,57.2223455907227
0,0,4,19509245.698109217,65.07583932702168
0,2,2,17570212.499545272,58.60792073949076
0,0,4,17170443.488680974,57.274434846622604
0,0,4,18746968.669667408,62.533156837233456
0,0,4,18270190.84238488,60.94279718094334
0,1,3,17572469.86155238,58.61545048869535
0,0,4,17746139.05996403,59.194748582879726
1,1,2,18515421.839889478,61.760799744372086
0,0,4,18323628.933363087,61.12104746679512
0,2,2,16905823.866209354,56.3917587913198
0,2,2,17268606.4320127,57.60187118255137
0,0,4,17081735.174421422,56.97853575882318
0,1,3,18739813.657954127,62.509290286991494
0,1,3,18376772.64897759,61.29831582212192
0,1,3,17985113.432490308,59.99188129167035
0,0,4,17579401.351580568,58.63857145084587
0,1,3,17197794.137992136,57.36566679313684
0,2,2,17377121.075890876,57.963837074975885
0,0,4,18243804.191203423,60.854780786089634
0,0,4,18973201.519287616,63.28778840014446
0,0,4,17556327.385147877,58.56160498297488
0,1,3,18424371.672178634,61.45708907424486
0,1,3,17539774.187744744,58.5063894594624
0,1,3,17142838.29344143,57.18235382627984
0,0,4,17681029.121104423,58.9775652029897
0,1,3,19070714.293954372,63.613056006834185
0,0,4,17802208.773681376,59.3817770173689
0,1,3,17727993.002995286,59.13421985173398
0,1,3,17316129.913234178,57.760392453752
0,0,4,17195436.491933666,57.35780253234146
0,1,3,19240546.06880701,64.17955383375961
0,0,4,17474541.41097245,58.28879633639764
0,1,3,19214661.067162868,64.09321076165728
0,0,4,17316183.33362574,57.76057064499896
0,1,3,17897106.04700991,59.69832025062669
0,1,3,18249185.303028062,60.872730243178836
0,1,3,18426816.414955977,61.46524385842443
1,1,2,18714556.795271717,62.42504246094744
0,1,3,17558256.759522207,58.568040683192535
0,1,3,16955164.889126677,56.556342729073464
0,0,4,18023680.422113072,60.12052692250892
0,0,3,17493240.97615146,58.35117137220911
0,1,3,16848183.120110806,56.19948995684803
0,1,3,17422649.812402245,58.115704593988326
0,1,3,18360668.916194245,61.24459955121167
0,1,3,17843230.53664929,59.51861089076001
0,1,3,17351688.630185924,57.87900356700745
0,0,4,17421651.451675642,58.112374421041615
0,0,4,18287760.197420053,61.00140224148953
0,2,2,18041611.364607964,60.18033810900153
0,2,2,18154153.88061312,60.555739536731764
0,0,4,18045876.95614917,60.19456659092572
0,1,3,17211073.538696773,57.409962106240506
0,1,3,17032162.779607497,56.81318004749091
0,1,3,17827060.50948724,59.46467348560379
1,0,3,18658295.434951544,62.2373747621973
0,1,3,17726260.285943974,59.128440129740866
0,1,3,17230861.606674,57.475967996586284
0,1,3,17034565.681617882,56.82119526589383
0,1,3,17146906.9362755,57.19592535802669
0,2,2,18962834.27450526,63.25320699365851
0,1,3,17142264.54816936,57.180440018041544
0,0,4,17403296.00065568,58.05114722651887
0,1,3,17907836.72211042,59.734113930173145
0,0,4,17799949.96873025,59.37424245502111
0,0,4,17657661.136415996,58.8996179957777
0,0,4,17452290.445514213,58.214575104298866
0,0,4,17427268.274632752,58.13111012584236
0,1,3,17649190.889002766,58.87136429144423
0,1,3,17508309.364876,58.40143410705438
0,0,4,18411223.05832163,61.413230019109044
0,0,4,17985688.849167224,59.99380067511513
0,1,3,17576169.613052905,58.62779153139499
0,1,3,17692149.463165976,59.014658671617724
0,1,3,18772977.220027655,62.61991202349554
0,1,3,17901842.28552322,59.71411864187543
0,1,3,17671460.919183865,58.945649116613744
0,2,3,17923890.388877705,59.7876631988288
0,0,4,17197894.491561383,57.36600153661433
0,0,4,18770734.458836656,62.61243097737142
0,1,3,17768743.044629376,59.27014736031042
0,0,4,18799528.949816745,62.70847906131682
0,1,3,17956126.635055795,59.89519174243596
0,0,4,17715573.928590488,59.092794278287265
0,1,3,18246702.339317977,60.86444796768994
0,2,2,17167389.827845957,57.2642489304199
0,1,3,17993204.252671856,60.01886936298309
0,0,4,17850903.1520287,59.54420398099911
0,1,3,18548826.291435488,61.872225001670785
0,0,4,18315660.030044496,61.09446606636591
0,1,3,17903578.635240283,59.71991048113727
0,0,4,17304543.025977295,57.7217427578541
0,0,4,17495151.644292586,58.357544675148816
0,1,3,18458494.18681832,61.570909532220924
0,2,2,17197436.115705296,57.36447255932717
0,1,3,17386060.83191025,57.99365689145376
0,1,3,17620925.760780163,58.777081971602925
0,1,3,17084060.853895545,56.98629339056999
0,0,4,19420814.846305687,64.78086575435935
0,0,4,18053277.198039487,60.21925114099432
0,0,4,19125553.199584242,63.795978907435355
0,1,3,18202968.120179534,60.7185663143556
0,0,4,18223864.859280735,60.78827033352946
0,0,4,18690803.327874992,62.345809421818785
0,1,3,18240602.55681836,60.844101283250296
0,1,3,18039521.431834847,60.173366843610125
0,1,3,17472136.873009924,58.28077566104573
0,0,4,18624537.03054099,62.12476884522068
0,2,2,18178072.346756134,60.63552295243925
0,0,4,17336396.264668167,57.827993725993444
0,0,4,18845446.91384303,62.86164490357632
0,1,3,17172293.495000757,57.280605803505466
0,1,3,17146244.55427032,57.193715889469615
0,1,3,17470058.925864983,58.273844375406775
0,1,3,17241690.62129803,57.512089701476775
0,1,3,18104161.21324826,60.38898194705827
0,1,3,17221061.458080802,57.44327821938522
0,0,4,17518571.787036642,58.43566586290831
0,0,4,18082104.63556585,60.31540912278944
0,1,3,18107001.23180261,60.398455229315736
0,1,3,16990796.88430081,56.67519827217003
0,0,4,17979818.548472844,59.974219459587886
0,0,4,18509219.019960582,61.74010936406145
0,1,3,17831334.267380834,59.478929207547615
0,0,4,18484373.664986655,61.65723417999103
0,1,3,17299346.11024448,57.704407712796076
0,1,3,17040382.13727882,56.84059687372127
0,1,3,18469665.471375134,61.608172926723455
1,0,3,17313385.185408436,57.75123702715333
0,1,3,18239531.75782179,60.84052948224218
0,1,3,16820786.136526387,56.108103455833415
0,0,4,18186216.04691411,60.662687412368086
0,0,4,17778661.31668546,59.3032311549743
0,0,4,17528183.5578346,58.467727279416934
0,0,4,16998062.04445512,56.699432238065114
0,0,4,17046091.227799572,56.859640349987906
0,0,4,18421789.320578173,61.44847527643649
0,1,3,17692431.08732114,59.01559806868903
0,2,2,17975167.777215797,59.95870615642109
0,1,3,18159268.36189682,60.57279961006363
0,1,3,18590907.617296766,62.01259319646378
0,0,4,17364652.682241358,57.922246990235664
0,1,3,17210031.076857965,57.4064848278169
0,0,4,17689713.366853863,59.006532728941856
0,0,4,18084787.128166296,60.324356955020555
0,0,4,18059185.09624662,60.238957768325626
0,0,4,17960331.336400278,59.909217116525035
1,0,3,17978439.60481735,59.96961979862946
0,1,3,17102239.198628873,57.04692982210624
0,1,3,17861132.93264551,59.57832685638197
0,1,3,17798057.65908161,59.36793038942118
0,0,4,17520195.397668734,58.44108164505892
0,0,4,18231006.527144164,60.81209237347909
0,2,2,17068310.231200866,56.93375496813991
0,1,3,17448101.5388412,58.20060241556312
0,1,3,18158790.40232577,60.571205308534424
0,0,4,17607801.453652326,58.73330399498888
0,0,4,17896598.990041446,59.69662889062641
0,1,3,17002622.64892934,56.714644777216606
0,0,4,17448049.011264358,58.20042720242553
0,0,4,17342989.089314256,57.849985022018885
0,1,3,16791435.665028766,56.01020082049285
0,1,3,17704027.092159614,59.054278177565664
0,0,4,17831666.996445406,59.48003907224873
0,0,4,18541703.260006946,61.848465126176976
0,1,3,18593451.249157168,62.02107783912071
0,2,2,17358657.148629364,57.9022480426571
0,0,4,19828625.405154843,66.14117536418209
0,1,3,17268430.298692912,57.60128366503296
0,0,4,18042285.84922347,60.1825879475215
0,0,4,17755374.2724449,59.225553936036675
0,1,3,17544413.376240045,58.52186412669452
0,0,4,17426930.62853693,58.12998385969035
0,1,3,17867249.138955466,59.59872832475633
0,0,4,18604202.699696377,62.05694081807174
0,0,4,17541964.76157709,58.51369642729465
0,0,4,18115097.158557594,60.42546033432407
0,0,4,17554070.205897808,58.55407584338216
0,2,2,18179752.81898589,60.64112840446489
0,0,4,17630103.85318086,58.80769679268
0,0,4,17418208.70230699,58.10089064518351
0,0,4,18283622.29537875,60.987599685893194
0,1,3,18131771.916380487,60.48108133975355
0,1,3,18142895.425140202,60.51818537134971
1,0,3,18441380.033497382,61.513822861164265
0,0,4,17550548.603563912,58.54232904234225
0,0,4,18944539.570501298,63.1921824293714
0,0,4,18172650.476792537,60.6174375408317
0,1,3,16810881.428750623,56.07506490673875
0,2,2,17480056.29085476,58.307191995701054
0,2,2,16887405.00229189,56.33032007413786
0,1,3,17036628.08084804,56.82807468927116
0,0,4,17408125.095758893,58.067255354013625
0,1,3,17067558.58788187,56.93124775588706
0,1,3,17388830.776854742,58.00289643330699
0,0,4,17364949.583880335,57.92323734750796
0,1,3,17170079.201376032,57.27321971496185
0,1,3,17239053.484893113,57.50329316122989
0,0,4,17830252.34935132,59.47532031743761
0,0,4,18618697.810508534,62.10529130362284
0,0,4,17556753.719193146,58.56302708028499
0,0,4,18637526.772732418,62.168097961519145
0,2,2,17106544.682067774,57.06129136907893
1,0,3,17737293.042126846,59.1652414433232
0,1,3,17783736.060301654,59.320158677714204
0,0,4,17822816.314287666,59.45051637419344
